prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,768,2,3888,179.499
16,768,2,5832,263.702
16,768,2,8748,393.964
16,768,2,13122,580.822
16,768,2,16384,726.828
16,768,4,512,46.3354
16,768,4,768,47.4666
16,768,4,1152,63.8086
16,768,4,1728,88.278
16,768,4,2592,128.32
16,768,4,3888,184.364
16,768,4,5832,272.448
16,768,4,8748,400.982
16,768,4,13122,592.3
16,768,4,16384,737.004
16,768,8,512,77.3546
16,768,8,768,89.3646
16,768,8,1152,122.476
16,768,8,1728,168.405
16,768,8,2592,244.16
16,768,8,3888,357.376
16,768,8,5832,523.072
16,768,8,8748,784.834
16,768,8,13122,1180.5
16,768,8,16384,1469.83
16,768,16,512,109.375
16,768,16,768,132.267
16,768,16,1152,181.504
16,768,16,1728,252.332
16,768,16,2592,365.846
16,768,16,3888,530.838
16,768,16,5832,784.09
16,768,16,8748,1191.64
16,768,16,13122,1770.95
16,768,16,16384,2208.86
16,768,32,512,199.553
16,768,32,768,261.354
16,768,32,1152,366.358
16,768,32,1728,493.272
16,768,32,2592,729.706
16,768,32,3888,1077.06
16,768,32,5832,1678.32
16,768,32,8748,2497.64
16,768,32,13122,3702.86
16,768,32,16384,4621
16,768,64,512,370.648
16,768,64,768,496.704
16,768,64,1152,691.18
16,768,64,1728,943.982
16,768,64,2592,1437.44
16,768,64,3888,2699.42
16,768,64,5832,4181.58
16,768,64,8748,6209.94
16,768,64,13122,9342.52
16,768,64,16384,11729.3
16,768,128,512,784.386
16,768,128,768,1069.76
16,768,128,1152,1481.73
16,768,128,1728,2252.7
16,768,128,2592,4731.48
16,768,128,3888,8181.22
16,768,128,5832,12206.6
16,768,128,8748,18420.4
16,768,128,13122,30586
16,768,128,16384,42840
16,1024,0,0,57.7714
16,1024,1,16,56.4054
16,1024,1,32,56.5974
16,1024,1,64,56.512
16,1024,1,128,56.3834
16,1024,1,256,56.5754
16,1024,1,512,56.2986
16,1024,1,1024,57.1726
16,1024,1,2048,100.8
16,1024,1,4096,189.034
16,1024,1,8192,369.6
16,1024,1,16384,728.468
16,1024,2,16,56.128
16,1024,2,32,56.17
16,1024,2,64,56.3414
16,1024,2,128,56.1494
16,1024,2,256,56.47
16,1024,2,512,56.5334
16,1024,2,1024,57.0454
16,1024,2,2048,100.394
16,1024,2,4096,190.316
16,1024,2,8192,368.916
16,1024,2,16384,725.954
16,1024,4,16,56.2766
16,1024,4,32,56.576
16,1024,4,64,56.4706
16,1024,4,128,56.7034
16,1024,4,256,57.088
16,1024,4,512,58.0046
16,1024,4,1024,59.264
16,1024,4,2048,104.363
16,1024,4,4096,196.672
16,1024,4,8192,379.178
16,1024,4,16384,736.322
16,1024,8,16,66.3046
16,1024,8,32,66.198
16,1024,8,64,66.1126
16,1024,8,128,71.4034
16,1024,8,256,76.992
16,1024,8,512,88.384
16,1024,8,1024,112.533
16,1024,8,2048,201.216
16,1024,8,4096,379.734
16,1024,8,8192,738.946
16,1024,8,16384,1471.83
16,1024,16,16,75.2426
16,1024,16,32,75.712
16,1024,16,64,76.416
16,1024,16,128,86.0586
16,1024,16,256,98.3886
16,1024,16,512,119.915
16,1024,16,1024,166.293
16,1024,16,2048,299.564
16,1024,16,4096,564.118
16,1024,16,8192,1123.29
16,1024,16,16384,2198.96
16,1024,32,16,99.4994
16,1024,32,32,100.395
